W11-DASHBOARD-AS-DEFAULT-SURFACE,Production,Dashboard becomes primary surface; CLI is power-user fallback,deferred,Claude,-,2026-05-25,"DEFERRED to W15+ humans-inherit track. Agents don't use GUI dashboards (panel A5: 'nice to have, not agent-critical'). Agent-facing analog is W11-AGENT-TELEMETRY (programmatic budget_status())."
W11-MORNING-EMAIL-BRIEF,Production,harness today --email <addr> + scheduled Task delivers daily email,deferred,Claude,-,2026-05-25,DEFERRED to W15+ humans-inherit track. Agents don't read email (panel A5 explicit). The human trust seam moves downstream after agent-first ships.
W11-HIDE-ADVANCED-VERBS,Production,Move engines-* proxy coord verb-families under --advanced,shipped,Claude,-,2026-05-25,"13 engineering verbs marked hidden=True: spec-register, spec-verify, spec-init, lint-spec, panic-dump, swarm-verify, engines-reliability, engines-cooldowns, burst, lock, replay, proxy (group), coord (group). harness --help now shows ~25 daily-use verbs (down from 38). New harness advanced list subcommand enumerates the hidden verbs with their docstrings + tells operator to invoke via harness <verb> directly (hidden affects help discovery, not callability). 32 new tests in test_hide_advanced_verbs.py cover: each hidden verb marked correctly, daily-use verbs stay visible, hidden verbs still callable via --help/invocation, advanced group + list subcommand work, default --help omits hidden verbs."
W11-PER-CHECK-LATENCY-OBSERVABILITY,Production,Per-check latency telemetry + histogram surface,shipped,Claude,2026-05-24,2026-05-25,Master audit M15+M19: operator can't answer 'how slow is preflight on average' without grepping logs. Each preflight check already has duration_ms; aggregate into rolling p50/p95 + surface in harness today. Catches W9-CLI-TIMEOUT-BUDGET regressions earlier. SHIPPED: src/harness/preflight_latency.py with record_run/latency_summary/latency_table. JSONL ledger at coord/observer/preflight_latency.jsonl. Auto-recorded after every preflight run (best-effort; failure does not block preflight). New CLI: harness preflight-latency [--format pretty|json] [--since-hours N] [--check-name X]. Per-check p50/p95/p99/max + overall stats. Payload size discipline: <2KB serialized. 17/17 tests pass.
W11-COST-VISIBILITY-WIDGET,Production,'This session cost $X' surface without grepping ledgers,shipped,Claude,2026-05-24,2026-05-25,Operator-UX panel U5 + master audit K09: operators expect cost visibility like Claude/ChatGPT shows token counts. Dashboard widget + daily email line + harness budget --today verb. Distinguish tp- subscription (zero marginal cost) from sk- per-token clearly. SHIPPED: src/harness/cost_widget.py with cost_widget_dict() + format_cost_widget(). Status thresholds: ok <80% / warn 80-100% / exhausted >=100%. Single-line operator-readable format under 400 chars distinguishing subscription vs paid dispatches with offload %. New CLI: harness cost-today [--format pretty|json] [--since-hours N]. Payload size <1KB per agent-poll discipline. 17/17 tests pass.
W11-MUTATION-PATTERN-EXPANSION,Process,Add module-specific mutation patterns for async/observer/dashboard,shipped,Claude,-,2026-05-25,"sweep_template extended with 4 new patterns: await_call_strip (remove await keyword), async_to_sync_def (async def -> def), return_empty_list_to_none (return [] -> return None), isinstance_negate (isinstance() -> not isinstance()). Critical refactor: _pick_applicable_patterns() pre-scans source for matching patterns instead of always picking MUTATIONS[:N] — was causing 0/3 on modules without int-flip idioms. Acceptance met: observer/cycle.py canary now applies + kills 1 mutation (return_empty_list_to_none); was 0/3 in W10-FRESH-CANARY-MODULES. 5 new tests in test_mutation_canary.py cover pick_applicable behavior + observer/cycle regression. mutation_targets.yaml synced."
W11-AUDIT-ALL-W10-ROWS,Process,Fire avg-of-3 audits on every W10 row at its commit SHA,shipped,Claude,-,2026-05-25,"scripts/audit_wave10_all.py + roll-up at /tmp/w11-audit-all-w10.log. All 10 W10 rows audited at their commit SHAs with --avg-of-N=3 via DeepSeek primary (post-W10-MIMO-FILTER swap; ~25-43s per audit). Roll-up: 4 PASS (PREFLIGHT-EXIT-CODE-SEMANTICS 0.83, DPAPI-SEEDING-VISIBILITY 0.90, MIMO-FILTER-INVESTIGATION 0.75, FRESH-CANARY-MODULES 0.79), 6 STOP (REMEDIATION-CARDS 0.47, DAILY-QUICKSTART 0.68, ENV-VAR-WIZARD 0.51, AUDIT-FOLLOWUP 0.50, PROFILE-AWARE-DEFAULTS 0.37, STATUS-CSV-OVERWHELM 0.27). The 6 STOPs are W12 followup candidates (auditor flagged spec-gap; not a regression — test suite still green). 68s total elapsed for the 10 parallel audits."
W11-L5-OUTPUT-CONTRACT,Production,Visible output contract for L5 escalations,shipped,Claude,2026-05-24,2026-05-25,Readiness panel 3 reviewers: when an L5 fires what does the operator literally SEE and what's the single action? Today the L5 contract is internal (preflight verdict_label says FAIL with explanation; observer flags fire). Add a visible 'L5 ESCALATION' header template + ALWAYS surface to dashboard banner + email if W11-MORNING-EMAIL-BRIEF ships. SHIPPED: src/harness/l5_escalation.py with render_l5_banner/escalation_writeup/is_l5/record_restart_outcome/should_escalate_to_l5. Visible border + 'L5 ESCALATION — <code>' header + ACTION callout + optional Evidence block. Hooked into preflight FAIL output (banner prints BEFORE per-check table) + observer watchdog restart_observer (3 consecutive failures → L5 banner in return message). Extended ObserverState with consecutive_restart_failures counter. New hidden CLI: harness l5-banner-demo. Also folds in audit fixes for W11-PER-CHECK-LATENCY-OBSERVABILITY: K01/K07/K10 ledger auto-prune at 7d (record_run + prune_old_entries); K03 latency_table now honors check_name filter; K04 bare except in CLI replaced with stderr warn. 21/21 L5 tests + 5 new latency tests pass.
W11-OBSERVER-WATCHDOG-RECOVERY,Production,Self-recovery path when the watchdog itself hangs,shipped,Claude,2026-05-24,2026-05-25,Readiness panel: if observer scheduler-status itself fails the operator has no next step. Add a watchdog-of-the-watchdog: dashboard banner says 'observer task last fired Xh ago; click to restart' + harness observer restart verb that detects + restarts the Windows Task Scheduler entry. SHIPPED: src/harness/observer/watchdog.py with is_stale/stale_seconds/watchdog_status/dashboard_banner/restart_observer + platform dispatch. Two CLI verbs: harness observer watchdog-status (exit 1 stale) + harness observer restart (re-arm at same cadence). 24/24 tests pass. Audit-fixes folded in: K01/M04/M06/M08 wired install-scheduler to dispatch cron-vs-Task-Scheduler; K04 _read_crontab distinguishes timeout vs no-crontab (refuses to mutate on read failure protecting operator entries); K09 shlex.quote on all interpolated paths; K03 scheduler_status populated tasks dict even when unavailable; K10 unused imports re/Path removed.
2026-05-24T091153Z,Dispatch,Dispatch 2026-05-24T091153Z,shipped,Claude,-,2026-05-24,task=0fc46eec066340d38d91cdf146286112; outcome=success
